"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
100,1,"GA_uniform",100001,10,100,100,0,100,100,100,100,100,100,100,100,100
100,18,"GA_uniform",100001,10,3.90688480804,3.94369841775,0.213794602052962,3.655440052466,3.664147576415,3.67866011633,3.7038018339,3.94369841775,4.045590695125,4.08882918433,4.195877587015,4.260106628626
100,2,"GA_uniform",100001,10,100,100,0,100,100,100,100,100,100,100,100,100
100,23,"GA_uniform",100001,10,8.8,9,0.421637021355784,8,8,8,9,9,9,9,9,9
100,24,"GA_uniform",100001,10,16.7,16.8,0.235702260395517,16.4,16.4,16.4,16.45,16.8,16.8,17,17,17
100,25,"GA_uniform",100001,10,-0.29459654819,-0.29393469835,0.0024887850119631,-0.299670936074,-0.298644579485,-0.29693398517,-0.295585019925,-0.29393469835,-0.292805226225,-0.29272689621,-0.292396695255,-0.292198574682
100,3,"GA_uniform",100001,10,5050,5050,0,5050,5050,5050,5050,5050,5050,5050,5050,5050
100,1,"(1+1)-EA",100001,10,70,69.5,1.24721912892465,69,69,69,69,69.5,70.75,72,72,72
100,18,"(1+1)-EA",100001,10,2.28027467084,2.2768689195,0.0871672221271481,2.14343394806,2.1616539239,2.1920205503,2.23516999335,2.2768689195,2.3356965002,2.37209349458,2.40318404039,2.421838367876
100,2,"(1+1)-EA",100001,10,12.8,13,1.47572957474524,11,11,11,11.25,13,14,14.1,14.55,14.82
100,23,"(1+1)-EA",100001,10,-703.3,-699,35.4778491143104,-748,-748,-748,-740.75,-699,-670.25,-669.1,-665.05,-662.62
100,24,"(1+1)-EA",100001,10,11.58,11.6,0.345768066130399,11.2,11.2,11.2,11.4,11.6,11.6,11.86,12.13,12.292
100,25,"(1+1)-EA",100001,10,-0.41488994118,-0.4143997524,0.00547090653338229,-0.42365205559,-0.422828339725,-0.42145547995,-0.417412241,-0.4143997524,-0.413579637925,-0.4077098476,-0.40681624975,-0.40628009104
100,3,"(1+1)-EA",100001,10,3662.3,3655,90.4053218689156,3564.8,3567.5,3572,3586.75,3655,3711,3804,3804,3804
100,1,"Random Search",100001,10,71.8,71.5,1.31656117720877,70.18,70.45,70.9,71,71.5,72,74,74,74
100,18,"Random Search",100001,10,2.38475582375,2.36620954275,0.094472777134666,2.27779774796,2.2823014673,2.2898076662,2.3030993654,2.36620954275,2.4741111923,2.49452647084,2.50354464247,2.508955545448
100,2,"Random Search",100001,10,17.8,17.5,1.3984117975602,16.18,16.45,16.9,17,17.5,18,19.2,20.1,20.64
100,23,"Random Search",100001,10,-582.5,-563,57.5485302447711,-670,-670,-670,-621.25,-563,-548.75,-522.1,-513.55,-508.42
100,24,"Random Search",100001,10,11.76,11.8,0.206559111797729,11.436,11.49,11.58,11.6,11.8,11.95,12,12,12
100,25,"Random Search",100001,10,-0.4036800162,-0.4042004445,0.00561859813538802,-0.409966426886,-0.409564390865,-0.40889433083,-0.408279877675,-0.4042004445,-0.401060323575,-0.39885696703,-0.395125193665,-0.392886129646
100,3,"Random Search",100001,10,3755,3755.5,57.7427244094199,3653.48,3663.2,3679.4,3741.25,3755.5,3795.75,3820.3,3826.15,3829.66
100,1,"RLS-EA",100001,10,69.1,69,1.66332999331662,67.18,67.45,67.9,68,69,69.75,70.3,71.65,72.46
100,18,"RLS-EA",100001,10,2.31119386898,2.2898093419,0.0922488367228355,2.216478542302,2.219672883655,2.22499678591,2.24719237425,2.2898093419,2.333179310825,2.45198400618,2.46730282734,2.476494120036
100,2,"RLS-EA",100001,10,14.2,14,1.75119007154183,12,12,12,13.25,14,14.75,17,17,17
100,23,"RLS-EA",100001,10,-691.5,-713.5,51.8807393076767,-744.4,-739,-730,-719,-713.5,-658,-635.2,-609.1,-593.44
100,24,"RLS-EA",100001,10,11.58,11.4,0.511642236115997,11.036,11.09,11.18,11.2,11.4,11.8,12.24,12.42,12.528
100,25,"RLS-EA",100001,10,-0.41018267815,-0.40931533695,0.00484452143778156,-0.416912609608,-0.41648178562,-0.41576374564,-0.4145672576,-0.40931533695,-0.4073922167,-0.40471830074,-0.40355815637,-0.402862069748
100,3,"RLS-EA",100001,10,3692.7,3679,77.8760411023684,3595.9,3597.25,3599.5,3626.5,3679,3762.5,3781.8,3794.4,3801.96
